number,area,component,priority_labels,assignees,title,author,created_at,updated_at,comments,summary,url
204,lsp-uv,lsp,spec-violation,,[LSPUV-WORKSPACE-DETECTION] uv workspace `exclude` is parsed but never applied,MelbourneDeveloper,2026-06-28T03:43:59Z,2026-07-10T23:22:32Z,1,Spec: LSPUV-WORKSPACE-DETECTION / Spec says:,https://github.com/Nimblesite/Basilisk/issues/204
205,lsp-uv,lsp,spec-violation,,[LSPUV-CONFIG-BINARY-RESOLUTION] uv binary-resolution cascade is dead code; `executablePath`/`UV_PATH` ignored,MelbourneDeveloper,2026-06-28T03:44:01Z,2026-07-10T23:22:33Z,1,Spec: LSPUV-CONFIG-BINARY-RESOLUTION / Spec says:,https://github.com/Nimblesite/Basilisk/issues/205
207,lsp-uv,lsp,spec-violation,,[LSPUV-LOCK-IMPORT-MAPPING] site-packages top-level-module scan (mechanism 1) not implemented,MelbourneDeveloper,2026-06-28T03:44:04Z,2026-07-10T23:22:33Z,1,Spec: LSPUV-LOCK-IMPORT-MAPPING / Spec says:,https://github.com/Nimblesite/Basilisk/issues/207
214,move-refactor,refactor,spec-violation,,"[REFACTOR-MOVE-ALGO] move-symbol does not update importers, prune imports, or condition the `__all__` re-export",MelbourneDeveloper,2026-06-28T03:44:15Z,2026-07-10T23:22:35Z,1,Spec: REFACTOR-MOVE-ALGO / Spec says:,https://github.com/Nimblesite/Basilisk/issues/214
197,nvim-release,packaging,high-priority,,"basilisk.nvim release execution: confirm PAT, dry-run on next tag, clean-machine smoke test",MelbourneDeveloper,2026-06-27T00:26:05Z,2026-08-01T06:13:38Z,1,"Captures the remaining (non-code) work from the now-deleted docs/plans/NEOVIM-RELEASE-PLAN.md. All code is shipped: the publish-nvim job in .github/workflows/release.yml mirrors basilisk.nvim/ to Nimblesite/basilisk.nvim, tags vX.Y.Z, uses BREWSCOOPPAT, matching the publish-homebrew/publish-scoop convention. Source of truth: [NVIM-DISTRIBUTION-RELEASE] / [NVIM-DISTRIBUTION] in docs/specs/NEOVIM-SPEC.md. / Remaining items (all [HUMAN]/[LATER], no code):",https://github.com/Nimblesite/Basilisk/issues/197
369,nvim-release,packaging,,,"Relative ""from ..mylib.some import smth"" was broken several versions ago",amerlyq,2026-07-29T22:23:31Z,2026-07-30T00:55:15Z,0,"Basilisk 0.38.0, CLI, Linux x8664. Though used through basilisk.nvim / Actual project path: /d/mypj/src/mypj/init.py",https://github.com/Nimblesite/Basilisk/issues/369
188,overload-rule,type-checking,,,"Website: home page copy cleanup (redundancy, buried lead, undefined competitor names, jargon, inconsistent alpha/stat framing)",abdushakoor12,2026-06-24T01:52:23Z,2026-06-24T01:52:23Z,0,"Summary / The home page copy (website/src/index.njk) needs an editing pass. Several spots are redundant, bury the lead, use unexplained jargon/competitor names, or are internally inconsistent. Concrete, source-grounded items below.",https://github.com/Nimblesite/Basilisk/issues/188
317,overload-rule,type-checking,high-priority,MelbourneDeveloper,No parameter-type inference: BSK-0001 demands annotations for types that are fully inferable from usage,MelbourneDeveloper,2026-07-16T21:31:57Z,2026-08-03T21:07:47Z,1,Example / python,https://github.com/Nimblesite/Basilisk/issues/317
380,overload-rule,type-checking,high-priority,,Aliased @overload decorator (o = overload) silently disables the entire overload rule family,MelbourneDeveloper,2026-08-01T01:00:36Z,2026-08-01T01:00:36Z,0,"Summary / When @overload is referenced through a name other than the imported one — e.g. o = overload — the entire overload rule family stops firing. overloadsdefinitions (missing implementation, a hard spec error) and overloadsconsistency (duplicate/unreachable overload) both go silent.",https://github.com/Nimblesite/Basilisk/issues/380
382,overload-rule,type-checking,high-priority,,"Function assigned into a class body is not bound as a method: no self consumed, arity errors missed",MelbourneDeveloper,2026-08-01T01:00:40Z,2026-08-01T01:00:40Z,0,"Summary / A plain function assigned into a class body becomes a method — accessing it through an instance binds self and consumes the first positional parameter. Basilisk does not model this, so calling a zero-parameter function bound this way produces no arity error.",https://github.com/Nimblesite/Basilisk/issues/382
234,profiler,profiler,spec-violation,,[PROFILE-CONFIG-CODES] BSK-PROF-GIL is defined but never emitted (profiler never produces GIL-contention diagnostic),MelbourneDeveloper,2026-06-28T11:37:39Z,2026-08-01T06:14:12Z,2,"Spec vs code deviation found by spec-check audit. Clear bug — advertised diagnostic is dead code. / Spec (docs/specs/LSP-PROFILING-SPEC.md:1279, [PROFILE-CONFIG-CODES]): lists BSK-PROF-GIL | Info | GIL contention detected as an emitted profiler diagnostic.",https://github.com/Nimblesite/Basilisk/issues/234
303,pydantic,editor-ux,,,pydantic Field hard to read,asukaminato0721,2026-07-12T03:03:03Z,2026-07-12T03:03:03Z,0,"<img width=""1430"" height=""546"" alt=""Image"" src=""https://github.com/user-attachments/assets/8dbe2c41-1107-4598-af91-2f7330f357f4"" /",https://github.com/Nimblesite/Basilisk/issues/303
217,refactor-formatter,refactor,spec-violation,,[REFACTOR-FORMATTER] inserted refactoring code is never run through ruff,MelbourneDeveloper,2026-06-28T03:44:19Z,2026-07-10T23:22:36Z,1,Spec: REFACTOR-FORMATTER / Spec says:,https://github.com/Nimblesite/Basilisk/issues/217
219,rename-refactor,refactor,spec-violation,,[REFACTOR-RENAME-VALIDATE] shadowing/builtin-conflict rejections are computed then discarded,MelbourneDeveloper,2026-06-28T03:44:23Z,2026-08-01T06:14:09Z,2,Spec: REFACTOR-RENAME-VALIDATE / Spec says:,https://github.com/Nimblesite/Basilisk/issues/219
368,rename-refactor,refactor,,,"Rename Symbol does not update importers: the definition is renamed, callers are silently left broken",abdushakoor12,2026-07-29T06:16:24Z,2026-07-29T06:16:24Z,0,"Summary / Renaming a module-level function via Rename Symbol (<kbdF2</kbd) updates the definition, its same-file references, and its all entry — but does not update importers. The importing file is left referring to a name that no longer exists, so a rename that looks successful silently breaks working code.",https://github.com/Nimblesite/Basilisk/issues/368
335,return-checks,type-checking,critical,MelbourneDeveloper,directives_cast rejects legal string forward refs (conflicts with ruff TC006) and only fires on assignment RHS,MelbourneDeveloper,2026-07-21T09:27:12Z,2026-08-03T21:07:49Z,3,Summary / Two problems with directivescast:,https://github.com/Nimblesite/Basilisk/issues/335
198,salsa-integration,architecture,high-priority,,Salsa integration: migrate parse/resolve/check to tracked queries (stubbing Phase 5 + cache v2),MelbourneDeveloper,2026-06-27T00:28:37Z,2026-08-01T06:13:41Z,1,"Deferred performance work consolidated from two now-deleted plans. Current DashMap + Arc (stubbing) and the opt-in content-addressed CLI cache (basilisk-db) both work correctly; Salsa is the v2 incremental-computation upgrade, deliberately deferred until the foundations were stable. Both are now stable, so this is the home for that work. / From LSP-STUBBING-PLAN.md Phase 5 (spec [STUBRES-] in docs/specs/CHECKER-STUB-RESOLUTION-SPEC.md):",https://github.com/Nimblesite/Basilisk/issues/198
35,shipwright,shipwright,,,Shipwright: verify Zed extension reads shipwright.json + checks expectedVersion,MelbourneDeveloper,2026-05-06T05:08:59Z,2026-08-01T06:13:28Z,1,"Problem / [basilisk-zed/src/lib.rs](basilisk-zed/src/lib.rs) downloads the latest GitHub release and tracks cachedbinaryversion, but never reads shipwright.json (or deployment-toolkit.json) to learn the expected version, and never verifies the running server's version against an expected value from the manifest.",https://github.com/Nimblesite/Basilisk/issues/35
48,shipwright,shipwright,,,Replace CDDL/MPL deps to reach pure MIT/BSD/Apache license footprint,MelbourneDeveloper,2026-05-24T08:22:44Z,2026-08-01T06:13:37Z,1,Background / Pre-publish license audit (May 2026) found two runtime Rust dependencies with non-permissive (weak copyleft) licenses statically linked into the \basilisk\ and \basilisk-profiler-helper\ binaries shipped in the VSIX:,https://github.com/Nimblesite/Basilisk/issues/48
86,shipwright,shipwright,shipwright,,Shipwright deployment-contract hardening checklist,MelbourneDeveloper,2026-06-05T21:15:59Z,2026-08-01T06:13:30Z,1,Bring the release/IDE deployment into full conformity with the Shipwright contract. / Version / resolution,https://github.com/Nimblesite/Basilisk/issues/86
87,shipwright,shipwright,shipwright,,Bundle and verify the server binary in the VSIX before startup,MelbourneDeveloper,2026-06-05T21:36:59Z,2026-08-01T06:13:31Z,1,TODO: the VS Code extension should bundle the server binary and verify it on startup instead of continuing on a missing/mismatched binary. / Part of bringing this repo onto the Shipwright deployment contract (https://github.com/Nimblesite/Shipwright). Plain TODO — not a security incident.,https://github.com/Nimblesite/Basilisk/issues/87
88,shipwright,shipwright,shipwright,,List the profiler helper in shipwright.json,MelbourneDeveloper,2026-06-05T21:37:00Z,2026-08-01T06:13:32Z,1,TODO: declare the profiler helper as a component in the product manifest. / Part of bringing this repo onto the Shipwright deployment contract (https://github.com/Nimblesite/Shipwright). Plain TODO — not a security incident.,https://github.com/Nimblesite/Basilisk/issues/88
89,shipwright,shipwright,shipwright,,Verify version via the Zed LSP initialize handshake,MelbourneDeveloper,2026-06-05T21:37:02Z,2026-08-01T06:13:33Z,1,"TODO: Zed can't preflight --version, so verify the version through the LSP initialize handshake. / Part of bringing this repo onto the Shipwright deployment contract (https://github.com/Nimblesite/Shipwright). Plain TODO — not a security incident.",https://github.com/Nimblesite/Basilisk/issues/89
90,shipwright,shipwright,shipwright,,Sign + notarize the macOS binaries,MelbourneDeveloper,2026-06-05T21:37:35Z,2026-08-01T06:13:35Z,1,"TODO: Developer ID sign (codesign --options runtime --timestamp) + notarize (xcrun notarytool submit --wait) + staple each macOS binary, then keep cosign provenance in addition. / Binaries to sign:",https://github.com/Nimblesite/Basilisk/issues/90
91,shipwright,shipwright,shipwright,,Windows code signing — current position,MelbourneDeveloper,2026-06-05T21:37:42Z,2026-08-01T06:13:36Z,1,"Windows code signing — current position (Shipwright). / Native Authenticode signing is unsolved for now — we have not forgotten it and intend to do it, but there's no good long-term answer yet (a fresh cert has zero SmartScreen reputation, which can't be bought; evaluating Azure Trusted Signing later).",https://github.com/Nimblesite/Basilisk/issues/91
213,signature-refactor,refactor,spec-violation,,[REFACTOR-SIGNATURE-OPS] reorder/remove parameter does not update call sites; remove lacks default guard; substring caller matching,MelbourneDeveloper,2026-06-28T03:44:13Z,2026-07-10T23:22:34Z,1,Spec: REFACTOR-SIGNATURE-OPS / Spec says:,https://github.com/Nimblesite/Basilisk/issues/213
336,stdlib-stubs,stubs,critical,MelbourneDeveloper,`stubs generate` writes empty / wrong-module stubs and reports success — the empty stub then satisfies BSK-0152,MelbourneDeveloper,2026-07-21T09:47:59Z,2026-07-26T11:23:31Z,1,"basilisk stubs generate reports ""✓ Generated stub"" for stubs that are empty or contain attributes from the wrong module. Because a generated stub is enough to satisfy BSK-0152, the result is a gate that turns green while the checker has learned nothing about the package. / This is worse than the original diagnostic: BSK-0152 at least told the truth (""no type stubs available""). After running the recommended remediation, the project reports clean and the user believes the package is typed.",https://github.com/Nimblesite/Basilisk/issues/336
371,type-aliases-pep695,type-checking,showstopper,MelbourneDeveloper,Valid recursive PEP 695 JsonValue alias rejected as circular,rayliverified,2026-07-30T17:42:50Z,2026-08-03T21:07:42Z,3,"Basilisk 0.38.0 rejects a valid directly-recursive PEP 695 JsonValue alias as genericssyntaxscoping / circular. Full repro, command output, and comparator results are in the comment below.",https://github.com/Nimblesite/Basilisk/issues/371
372,type-aliases-pep695,type-checking,,MelbourneDeveloper,PEP 695 alias reported undefined in direct return from cast,rayliverified,2026-07-30T17:48:06Z,2026-08-03T21:07:43Z,1,Full verified reproduction details: / Minimal reproduction,https://github.com/Nimblesite/Basilisk/issues/372
378,type-aliases-pep695,type-checking,critical,MelbourneDeveloper,"Return/assignment checks skip every nominal annotation: type aliases, TypeAlias, and user classes are all unverifiable",MelbourneDeveloper,2026-08-01T01:00:25Z,2026-08-03T21:07:46Z,1,"Summary / Return-type and assignment checking is skipped entirely whenever the annotation is a nominal name — a PEP 695 type alias, a legacy TypeAlias, an implicit alias, a class defined in the same file, or an imported class. The declared type is parsed from annotation source text into InferredType::Named(..), and every Named is then treated as unverifiable and dropped.",https://github.com/Nimblesite/Basilisk/issues/378
379,type-aliases-pep695,type-checking,critical,MelbourneDeveloper,"type-statement RHS validation is substring matching on source text, so most invalid type expressions pass silently",MelbourneDeveloper,2026-08-01T01:00:28Z,2026-08-03T21:07:44Z,1,"Summary / aliasestypestatement validates the RHS of a PEP 695 type X = ... statement by substring-matching the raw source text, not by walking the Ruff AST. Almost every invalid type expression that does not start with one of a handful of hard-coded prefixes passes silently.",https://github.com/Nimblesite/Basilisk/issues/379
383,type-aliases-pep695,type-checking,,,Non-regular recursive alias rejection uses the wrong rule code and misleading wording (should be an opt-in house rule),MelbourneDeveloper,2026-08-01T01:00:42Z,2026-08-01T01:00:42Z,0,"Summary / Non-terminating (non-regular / polymorphic) recursive type aliases are reported under genericssyntaxscoping with the message ""Circular type alias definition"". Rejecting them is a defensible engineering decision, but the code and the wording are both wrong, and neither is backed by the typing spec.",https://github.com/Nimblesite/Basilisk/issues/383
290,type-inference,type-checking,awaiting-reply;critical,abdushakoor12,does not infer generic type,asukaminato0721,2026-07-06T18:43:52Z,2026-08-03T21:07:48Z,6,"<img width=""864"" height=""143"" alt=""Image"" src=""https://github.com/user-attachments/assets/5614b0f7-d597-46fc-a5db-75e9917d0861"" / / it should show dict[KT, VT]",https://github.com/Nimblesite/Basilisk/issues/290
397,type-inference,type-checking,,MelbourneDeveloper,Clarification or help needed for a basic check,Hibou57,2026-08-02T20:45:36Z,2026-08-04T08:04:43Z,0,"Two defects behind one symptom. The reported half (a: int = print2(...) draws nothing) is undefined-name, not inference, and is fixed on main by the names_undefined module-level callee pass (da74283, merged into bidirectionaltype-inference). The unfixed half IS inference: define print2 returning str and assignment_compatibility stays silent, because the rule only reads syntactic right-hand sides (literals, already-annotated names). Every call RHS is unchecked - builtin (a: str = len(...)), local function, constructor C(), method C().m() - as is any variable bound from one. BidirEngine::synth_call (bidir/engine.rs:266) already computes the answer and is live in the LSP hover path, but no rule consults it. Same dead-engine wiring as 378.",https://github.com/Nimblesite/Basilisk/issues/397
401,type-inference,type-checking,,MelbourneDeveloper,New rule returns_implicit_none: a function that falls off the end never satisfies its declared return type,MelbourneDeveloper,2026-08-04T08:15:58Z,2026-08-04T08:16:00Z,0,"Feature. Basilisk is silent when control can reach the end of a function body without returning, so the declared return type is never satisfied and Python implicitly returns None. Measured: def f(x: int) -> int with body x * 2 draws nothing, as does a partial return (if x: return 1). mypy 1.19.1, pyright 1.1.408, ty 0.0.19 and pyrefly 0.54.0 all flag both; Basilisk is the only one of the five that is silent. Spec-mandated (None is not assignable to int), so default-on, not opt-in - but not exercised by the conformance suite, so it moves no score and must simply stay at 0 FP on the 147 fixtures. Structure: new resolver visitor terminates.rs adds FunctionInfo.body_falls_through via a real all-paths walk (the existing body_last_stmt_terminates only inspects the last statement and would false-positive on if/else where both branches return); new rule returns_implicit_none consumes it, excluding generators, stub/overload/abstractmethod/Protocol bodies, .pyi, and annotations that admit None. Analysis is biased toward silence - anything unmodelled reads as terminating. Definition-site twin of the unfixed half of 397; adjacent to 378.",https://github.com/Nimblesite/Basilisk/issues/401
284,unbound-analysis,type-checking,awaiting-reply,,False positive tuple-length complaint,JelleZijlstra,2026-07-06T16:22:21Z,2026-08-03T21:07:53Z,2,I get this error: / error[tuplesindex2]: Tuple index 2 is out of range for tuple of length 2,https://github.com/Nimblesite/Basilisk/issues/284
285,unbound-analysis,type-checking,awaiting-reply;critical,,"False positive ""returns `o` but `o` may be unbound on some paths""",JelleZijlstra,2026-07-06T16:25:35Z,2026-07-10T23:04:57Z,1,error[namesunbound]: Function occ returns o but o may be unbound on some paths / -- taxonomy/shell.py:2169:12,https://github.com/Nimblesite/Basilisk/issues/285
398,uncategorised,uncategorised,,abdushakoor12,Hang on recursive class definition,correctmost,2026-08-03T05:52:14Z,2026-08-03T21:07:52Z,1,,https://github.com/Nimblesite/Basilisk/issues/398
276,website,docs,high-priority,,Docs: document the opt-in `strict-annotations` switch (and other opt-in rule toggles) in configuration reference,abdushakoor12,2026-07-06T06:25:06Z,2026-07-07T00:15:19Z,0,"Problem / The configuration reference (website/src/docs/configuration.md) tells users that stricter-than-spec rules are opt-in and to ""enable them when you want stricter-than-spec checking"" — but it never documents the key that actually enables them. There is no mention of strict-annotations (or the [tool.basilisk.uv] toggles) anywhere on the website.",https://github.com/Nimblesite/Basilisk/issues/276
